superlayer2_layer1_ahdccell42_subcell1 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 175.2500*mm      -4.478579*mm     -39.748488*mm      -6.700249*mm     -39.434841*mm      -6.030224*mm     -35.491357*mm      -4.030721*mm     -35.773640*mm       8.900828*mm     -38.997119*mm       6.700239*mm     -39.434842*mm       6.030215*mm     -35.491358*mm       8.010745*mm     -35.097407*mm  |  2 1 42
superlayer2_layer1_ahdccell42_subcell2 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 175.2500*mm      -4.030721*mm     -35.773640*mm      -2.018536*mm     -35.943365*mm      -2.242818*mm     -39.937073*mm      -4.478579*mm     -39.748488*mm       8.010745*mm     -35.097407*mm       9.966070*mm     -34.593026*mm      11.073411*mm     -38.436696*mm       8.900828*mm     -38.997119*mm  |  2 1 42
superlayer2_layer1_ahdccell43_subcell1 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 175.2500*mm      -0.000000*mm     -40.000000*mm      -2.242818*mm     -39.937073*mm      -2.018536*mm     -35.943365*mm      -0.000000*mm     -36.000000*mm      13.211153*mm     -37.755337*mm      11.073411*mm     -38.436696*mm       9.966070*mm     -34.593026*mm      11.890038*mm     -33.979803*mm  |  2 1 43
superlayer2_layer1_ahdccell43_subcell2 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 175.2500*mm      -0.000000*mm     -36.000000*mm       2.018536*mm     -35.943365*mm       2.242818*mm     -39.937073*mm      -0.000000*mm     -40.000000*mm      11.890038*mm     -33.979803*mm      13.776595*mm     -33.259667*mm      15.307328*mm     -36.955185*mm      13.211153*mm     -37.755337*mm  |  2 1 43
superlayer2_layer1_ahdccell44_subcell1 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 175.2500*mm       4.478579*mm     -39.748488*mm       2.242818*mm     -39.937073*mm       2.018536*mm     -35.943365*mm       4.030721*mm     -35.773640*mm      17.355341*mm     -36.038759*mm      15.307328*mm     -36.955185*mm      13.776595*mm     -33.259667*mm      15.619807*mm     -32.434883*mm  |  2 1 44
superlayer2_layer1_ahdccell44_subcell2 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 175.2500*mm       4.030721*mm     -35.773640*mm       6.030224*mm     -35.491357*mm       6.700249*mm     -39.434841*mm       4.478579*mm     -39.748488*mm      15.619807*mm     -32.434883*mm      17.413872*mm     -31.508048*mm      19.348747*mm     -35.008942*mm      17.355341*mm     -36.038759*mm  |  2 1 44
superlayer2_layer1_ahdccell45_subcell1 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 175.2500*mm       8.900837*mm     -38.997116*mm       6.700249*mm     -39.434841*mm       6.030224*mm     -35.491357*mm       8.010754*mm     -35.097405*mm      21.281275*mm     -33.868973*mm      19.348747*mm     -35.008942*mm      17.413872*mm     -31.508048*mm      19.153147*mm     -30.482076*mm  |  2 1 45
superlayer2_layer1_ahdccell45_subcell2 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 175.2500*mm       8.010754*mm     -35.097405*mm       9.966078*mm     -34.593024*mm      11.073420*mm     -38.436693*mm       8.900837*mm     -38.997116*mm      19.153147*mm     -30.482076*mm      20.832159*mm     -29.360196*mm      23.146844*mm     -32.622441*mm      21.281275*mm     -33.868973*mm  |  2 1 45
superlayer2_layer1_ahdccell46_subcell1 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 175.2500*mm      13.211162*mm     -37.755333*mm      11.073420*mm     -38.436693*mm       9.966078*mm     -34.593024*mm      11.890046*mm     -33.979800*mm      24.939584*mm     -31.273266*mm      23.146844*mm     -32.622441*mm      20.832159*mm     -29.360196*mm      22.445626*mm     -28.145939*mm  |  2 1 46
superlayer2_layer1_ahdccell46_subcell2 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 175.2500*mm      11.890046*mm     -33.979800*mm      13.776604*mm     -33.259663*mm      15.307337*mm     -36.955181*mm      13.211162*mm     -37.755333*mm      22.445626*mm     -28.145939*mm      23.988470*mm     -26.843124*mm      26.653856*mm     -29.825693*mm      24.939584*mm     -31.273266*mm  |  2 1 46
superlayer2_layer1_ahdccell47_subcell1 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 175.2500*mm      17.355350*mm     -36.038755*mm      15.307337*mm     -36.955181*mm      13.776604*mm     -33.259663*mm      15.619815*mm     -32.434879*mm      28.284264*mm     -28.284278*mm      26.653856*mm     -29.825693*mm      23.988470*mm     -26.843124*mm      25.455838*mm     -25.455850*mm  |  2 1 47
superlayer2_layer1_ahdccell47_subcell2 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 175.2500*mm      15.619815*mm     -32.434879*mm      17.413880*mm     -31.508043*mm      19.348755*mm     -35.008937*mm      17.355350*mm     -36.038755*mm      25.455838*mm     -25.455850*mm      26.843112*mm     -23.988483*mm      29.825680*mm     -26.653871*mm      28.284264*mm     -28.284278*mm  |  2 1 47
superlayer2_layer1_ahdccell48_subcell1 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 175.2500*mm      21.281283*mm     -33.868968*mm      19.348755*mm     -35.008937*mm      17.413880*mm     -31.508043*mm      19.153155*mm     -30.482071*mm      31.273253*mm     -24.939600*mm      29.825680*mm     -26.653871*mm      26.843112*mm     -23.988483*mm      28.145928*mm     -22.445640*mm  |  2 1 48
superlayer2_layer1_ahdccell48_subcell2 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 175.2500*mm      19.153155*mm     -30.482071*mm      20.832167*mm     -29.360191*mm      23.146852*mm     -32.622435*mm      21.281283*mm     -33.868968*mm      28.145928*mm     -22.445640*mm      29.360186*mm     -20.832174*mm      32.622429*mm     -23.146860*mm      31.273253*mm     -24.939600*mm  |  2 1 48
superlayer2_layer1_ahdccell49_subcell1 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 175.2500*mm      24.939592*mm     -31.273259*mm      23.146852*mm     -32.622435*mm      20.832167*mm     -29.360191*mm      22.445633*mm     -28.145933*mm      33.868963*mm     -21.281292*mm      32.622429*mm     -23.146860*mm      29.360186*mm     -20.832174*mm      30.482066*mm     -19.153162*mm  |  2 1 49
superlayer2_layer1_ahdccell49_subcell2 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 175.2500*mm      22.445633*mm     -28.145933*mm      23.988477*mm     -26.843118*mm      26.653863*mm     -29.825687*mm      24.939592*mm     -31.273259*mm      30.482066*mm     -19.153162*mm      31.508039*mm     -17.413888*mm      35.008932*mm     -19.348764*mm      33.868963*mm     -21.281292*mm  |  2 1 49
superlayer2_layer1_ahdccell50_subcell1 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 175.2500*mm      28.284271*mm     -28.284271*mm      26.653863*mm     -29.825687*mm      23.988477*mm     -26.843118*mm      25.455844*mm     -25.455844*mm      36.038750*mm     -17.355359*mm      35.008932*mm     -19.348764*mm      31.508039*mm     -17.413888*mm      32.434875*mm     -15.619823*mm  |  2 1 50
superlayer2_layer1_ahdccell50_subcell2 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 175.2500*mm      25.455844*mm     -25.455844*mm      26.843118*mm     -23.988477*mm      29.825687*mm     -26.653863*mm      28.284271*mm     -28.284271*mm      32.434875*mm     -15.619823*mm      33.259660*mm     -13.776612*mm      36.955177*mm     -15.307347*mm      36.038750*mm     -17.355359*mm  |  2 1 50
superlayer2_layer1_ahdccell51_subcell1 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 175.2500*mm      31.273259*mm     -24.939592*mm      29.825687*mm     -26.653863*mm      26.843118*mm     -23.988477*mm      28.145933*mm     -22.445633*mm      37.755330*mm     -13.211172*mm      36.955177*mm     -15.307347*mm      33.259660*mm     -13.776612*mm      33.979797*mm     -11.890055*mm  |  2 1 51
superlayer2_layer1_ahdccell51_subcell2 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 175.2500*mm      28.145933*mm     -22.445633*mm      29.360191*mm     -20.832167*mm      32.622435*mm     -23.146852*mm      31.273259*mm     -24.939592*mm      33.979797*mm     -11.890055*mm      34.593021*mm      -9.966087*mm      38.436690*mm     -11.073430*mm      37.755330*mm     -13.211172*mm  |  2 1 51
superlayer2_layer1_ahdccell52_subcell1 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 175.2500*mm      33.868968*mm     -21.281283*mm      32.622435*mm     -23.146852*mm      29.360191*mm     -20.832167*mm      30.482071*mm     -19.153155*mm      38.997114*mm      -8.900847*mm      38.436690*mm     -11.073430*mm      34.593021*mm      -9.966087*mm      35.097403*mm      -8.010762*mm  |  2 1 52
superlayer2_layer1_ahdccell52_subcell2 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 175.2500*mm      30.482071*mm     -19.153155*mm      31.508043*mm     -17.413880*mm      35.008937*mm     -19.348755*mm      33.868968*mm     -21.281283*mm      35.097403*mm      -8.010762*mm      35.491355*mm      -6.030233*mm      39.434839*mm      -6.700259*mm      38.997114*mm      -8.900847*mm  |  2 1 52
superlayer2_layer1_ahdccell53_subcell1 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 175.2500*mm      36.038755*mm     -17.355350*mm      35.008937*mm     -19.348755*mm      31.508043*mm     -17.413880*mm      32.434879*mm     -15.619815*mm      39.748487*mm      -4.478589*mm      39.434839*mm      -6.700259*mm      35.491355*mm      -6.030233*mm      35.773639*mm      -4.030730*mm  |  2 1 53
superlayer2_layer1_ahdccell53_subcell2 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 175.2500*mm      32.434879*mm     -15.619815*mm      33.259663*mm     -13.776604*mm      36.955181*mm     -15.307337*mm      36.038755*mm     -17.355350*mm      35.773639*mm      -4.030730*mm      35.943365*mm      -2.018545*mm      39.937072*mm      -2.242828*mm      39.748487*mm      -4.478589*mm  |  2 1 53
superlayer2_layer1_ahdccell54_subcell1 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 175.2500*mm      37.755333*mm     -13.211162*mm      36.955181*mm     -15.307337*mm      33.259663*mm     -13.776604*mm      33.979800*mm     -11.890046*mm      40.000000*mm      -0.000010*mm      39.937072*mm      -2.242828*mm      35.943365*mm      -2.018545*mm      36.000000*mm      -0.000009*mm  |  2 1 54
superlayer2_layer1_ahdccell54_subcell2 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 175.2500*mm      33.979800*mm     -11.890046*mm      34.593024*mm      -9.966078*mm      38.436693*mm     -11.073420*mm      37.755333*mm     -13.211162*mm      36.000000*mm      -0.000009*mm      35.943366*mm       2.018527*mm      39.937073*mm       2.242808*mm      40.000000*mm      -0.000010*mm  |  2 1 54
superlayer2_layer1_ahdccell55_subcell1 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 175.2500*mm      38.997116*mm      -8.900837*mm      38.436693*mm     -11.073420*mm      34.593024*mm      -9.966078*mm      35.097405*mm      -8.010754*mm      39.748490*mm       4.478569*mm      39.937073*mm       2.242808*mm      35.943366*mm       2.018527*mm      35.773641*mm       4.030712*mm  |  2 1 55
superlayer2_layer1_ahdccell55_subcell2 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 175.2500*mm      35.097405*mm      -8.010754*mm      35.491357*mm      -6.030224*mm      39.434841*mm      -6.700249*mm      38.997116*mm      -8.900837*mm      35.773641*mm       4.030712*mm      35.491358*mm       6.030215*mm      39.434842*mm       6.700239*mm      39.748490*mm       4.478569*mm  |  2 1 55
superlayer2_layer1_ahdccell56_subcell1 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 175.2500*mm      39.748488*mm      -4.478579*mm      39.434841*mm      -6.700249*mm      35.491357*mm      -6.030224*mm      35.773640*mm      -4.030721*mm      38.997119*mm       8.900828*mm      39.434842*mm       6.700239*mm      35.491358*mm       6.030215*mm      35.097407*mm       8.010745*mm  |  2 1 56
superlayer2_layer1_ahdccell56_subcell2 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 175.2500*mm      35.773640*mm      -4.030721*mm      35.943365*mm      -2.018536*mm      39.937073*mm      -2.242818*mm      39.748488*mm      -4.478579*mm      35.097407*mm       8.010745*mm      34.593026*mm       9.966070*mm      38.436696*mm      11.073411*mm      38.997119*mm       8.900828*mm  |  2 1 56
superlayer2_layer2_ahdccell1_subcell1 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 175.2500*mm      43.930780*mm       2.467100*mm      44.000000*mm       0.000000*mm      40.000000*mm       0.000000*mm      39.937073*mm       2.242818*mm      40.650704*mm      16.838061*mm      41.530870*mm      14.532268*mm      37.755337*mm      13.211153*mm      36.955185*mm      15.307328*mm  |  2 2 1
superlayer2_layer2_ahdccell1_subcell2 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 175.2500*mm      39.937073*mm       2.242818*mm      39.748488*mm       4.478579*mm      43.723337*mm       4.926437*mm      43.930780*mm       2.467100*mm      36.955185*mm      15.307328*mm      36.038759*mm      17.355341*mm      39.642635*mm      19.090875*mm      40.650704*mm      16.838061*mm  |  2 2 1
superlayer2_layer2_ahdccell2_subcell1 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 175.2500*mm      43.378325*mm       7.370274*mm      43.723337*mm       4.926437*mm      39.748488*mm       4.478579*mm      39.434841*mm       6.700249*mm      38.509836*mm      21.283621*mm      39.642635*mm      19.090875*mm      36.038759*mm      17.355341*mm      35.008942*mm      19.348747*mm  |  2 2 2
superlayer2_layer2_ahdccell2_subcell2 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 175.2500*mm      39.434841*mm       6.700249*mm      38.997116*mm       8.900837*mm      42.896828*mm       9.790921*mm      43.378325*mm       7.370274*mm      35.008942*mm      19.348747*mm      33.868973*mm      21.281275*mm      37.255871*mm      23.409402*mm      38.509836*mm      21.283621*mm  |  2 2 2
superlayer2_layer2_ahdccell3_subcell1 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 175.2500*mm      42.280362*mm      12.180763*mm      42.896828*mm       9.790921*mm      38.997116*mm       8.900837*mm      38.436693*mm      11.073420*mm      35.884685*mm      25.461528*mm      37.255871*mm      23.409402*mm      33.868973*mm      21.281275*mm      32.622441*mm      23.146844*mm  |  2 2 3
superlayer2_layer2_ahdccell3_subcell2 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 175.2500*mm      38.436693*mm      11.073420*mm      37.755333*mm      13.211162*mm      41.530867*mm      14.532279*mm      42.280362*mm      12.180763*mm      32.622441*mm      23.146844*mm      31.273266*mm      24.939584*mm      34.400592*mm      27.433543*mm      35.884685*mm      25.461528*mm  |  2 2 3
superlayer2_layer2_ahdccell4_subcell1 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 175.2500*mm      40.650699*mm      16.838071*mm      41.530867*mm      14.532279*mm      37.755333*mm      13.211162*mm      36.955181*mm      15.307337*mm      32.808263*mm      29.319241*mm      34.400592*mm      27.433543*mm      31.273266*mm      24.939584*mm      29.825693*mm      26.653856*mm  |  2 2 4
superlayer2_layer2_ahdccell4_subcell2 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 175.2500*mm      36.955181*mm      15.307337*mm      36.038755*mm      17.355350*mm      39.642630*mm      19.090885*mm      40.650699*mm      16.838071*mm      29.825693*mm      26.653856*mm      28.284278*mm      28.284264*mm      31.112706*mm      31.112691*mm      32.808263*mm      29.319241*mm  |  2 2 4
superlayer2_layer2_ahdccell5_subcell1 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 175.2500*mm      38.509831*mm      21.283631*mm      39.642630*mm      19.090885*mm      36.038755*mm      17.355350*mm      35.008937*mm      19.348755*mm      29.319258*mm      32.808248*mm      31.112706*mm      31.112691*mm      28.284278*mm      28.284264*mm      26.653871*mm      29.825680*mm  |  2 2 5
superlayer2_layer2_ahdccell5_subcell2 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 175.2500*mm      35.008937*mm      19.348755*mm      33.868968*mm      21.281283*mm      37.255865*mm      23.409411*mm      38.509831*mm      21.283631*mm      26.653871*mm      29.825680*mm      24.939600*mm      31.273253*mm      27.433560*mm      34.400578*mm      29.319258*mm      32.808248*mm  |  2 2 5
superlayer2_layer2_ahdccell6_subcell1 | root|   0.0000*mm   0.0000*mm 127.7000*mm |    0.0000*deg    0.0000*deg    0.0000*deg | G4GenericTrap | 175.2500*mm      35.884678*mm      25.461537*mm      37.255865*mm      23.409411*mm      33.868968*mm      21.281283*mm      32.622435*mm      23.146852*mm      25.461546*mm      35.884672*mm      27.433560*mm      34.400578*mm      24.939600*mm      31.273253*mm      23.146860*mm      32.622429*mm  |  2 2 6
